Num_Acc;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202400049970;17;8;2024;20:42;5;91;91161;2;1;2;6;AV CHARLES DE GAULLE;48,70400000;2,32100000
202400005628;20;3;2024;19:15;2;75;75115;2;3;1;6;RUE VASCO DE GAMA;48,83525100;2,28546600
202400033703;2;3;2024;00:16;5;971;97128;1;1;1;6;D102;16,26610100; -61,33741600
202400002211;17;9;2024;18:00;1;38;38185;2;2;1;3;BERRIAT (COURS)             1 A 55-72;45,18784000;5,72160000
202400029831;18;5;2024;17:15;1;92;92012;2;1;1;6;BONTEMPS (rue Marcel);48,82785534;2,23636678
202400043519;16;7;2024;01:00;5;83;83137;2;1;1;6;RIVIERE (QUAI COMMANDANT);43,13992000;5,90996000
202400041755;17;7;2024;19:50;1;83;83137;2;3;1;3;PICOT (AVE DU COLONEL);43,12752000;5,96297000
202400045532;7;5;2024;19:00;5;974;97407;2;9;1;6;ROUTE DU SACRE COEUR; -20,95674000;55,31345000
202400030149;18;5;2024;14:16;1;56;56121;2;6;1;2;Avenue Simone Veil;47,76360000; -3,37020000
202400040947;4;4;2024;14:10;1;42;42275;2;1;1;6;Rue de la Piot;45,47847000;4,36762000
202400039204;14;1;2024;11:00;1;45;45247;1;1;8;7;A77 PR 24 + 600;48,02704500;2,67637300
202400044403;8;12;2024;11:15;1;85;85024;2;1;1;6;RD28 ;46,92911200; -1,88982500
202400039854;17;7;2024;12:45;1;64;64445;2;3;1;3;CHATEAU D'ESTE DU;43,30789000; -0,37748000
202400041666;21;8;2024;16:45;1;12;12176;1;1;1;5;D888;44,37301300;2,63490300
202400029206;19;1;2024;14:00;5;44;44143;2;6;8;2;Boulevard Victor Schoelcher;47,19536030; -1,56230579
202400000880;7;8;2024;12:00;1;84;84007;2;2;1;3;AULNES(Avenue des)-MONTFAVET;43,94320000;4,86570000
202400038340;29;9;2024;14:54;1;87;87050;2;1;1;6;BUXEROLLES (ROUTE DE);45,86999000;1,25731000
202400037872;26;8;2024;17:50;1;73;73010;2;3;1;3;D54;45,79441400;5,93267100
202400042396;2;11;2024;04:20;5;37;37261;2;2;2;3;HEURTELOUP (BOULEVARD);47,39214000;0,70041000
202400001575;23;3;2024;21:00;5;92;92072;2;1;1;2;EUROPE (AVENUE DE L');48,82321577;2,21002239
202400037904;26;8;2024;14:40;1;56;56007;2;1;1;3;102 Avenue du Général de Gaulle;47,67588100; -2,99449900
202400050181;11;6;2024;01:50;3;54;54323;2;1;1;3;Avenue de la République;49,52317000;5,77153000
202400049578;16;2;2024;09:20;1;93;93001;2;6;1;2;Rue Charles Tillon / Rue Léopold Réchossière;48,91462600;2,39187100
202400041570;3;4;2024;10:38;1;56;56260;2;6;1;6;MONSABERT(BOULEVARD DU GENERAL DE);47,66440000; -2,78060000
